ITEM,UNIQUE_VISITORS,VISITS,PAGE_VIEWS,BOUNCES,TIME_SPENT_ON_PAGE_(MIN),E89_VIDEO_VIEWS,E17_FORM_SUCCESS,FORM_SUBMISSIONS,TOTAL_WEEKLY_UNIQUE_VISITORS,ENTRIES,TOTAL_TIME_SPENT,ACCOUNT_NUMBER,DATE,GRANULARITY,SEGMENT_ID,GROUP,ETL_EXTRACT_DATE
,,,,,,,,,,,,ACCT0106566,Sat. 13 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0087337,Sat. 13 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0087467,Sat. 13 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ISP Visitor,Sun. 14 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,Not In List,Sun. 14 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,::unspecified::,Sun. 14 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0065581,Sun. 14 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0071663,Sun. 14 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0048703,Sun. 14 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0008833,Sun. 14 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0106566,Sun. 14 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0087337,Sun. 14 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ACCT0087467,Sun. 14 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,ISP Visitor,Mon. 15 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,Not In List,Mon. 15 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
,,,,,,,,,,,,::unspecified::,Mon. 15 Jan. 2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/3/2019 12:40
